name,id,price,hash,rarityScore,rarityRank,Body,Face,Headwear,Background
Naru 05344,5344,399,QmQDyzonQShjc3Czq7sLNvBLZs6p5Sobc2XV6XeFRiw8N6,224,2440,Bunch of Flowers,Goggles,Postman Hat,Orange
Naru 05322,5322,x,QmQZDppCzXtvvFX8cSBEGUhNSevZnzK4gcrUUQxYJum3vs,224,2441,,,,
Naru 09123,9123,x,QmfH8xxKP2CD8kNAHbZotmE1MsUipmBKF3LEauMmovbRJp,224,2442,,,,
Naru 06101,6101,900,QmUUw7xuZ49rAN64DJMUTUs3sz4VuZdSmhaE6RBwavrFMb,224,2443,Bell Necklace,Sunglasses,Books,Yellow
Naru 05049,5049,599.01,QmNZ1EH7jepzXnSFXCQJ2bVa9KvgE4qR2EScNcfScd8JMW,224,2444,Superhero Cape,Sweet Tooth,Cool Cap,Dark
Naru 07272,7272,x,QmdidP44mfqRN7ghHNWjQ3nwvQ8ynpDB6ZqcriwR8h3oo1,224,2445,,,,
Naru 06741,6741,x,QmcMGtD2UHzQtRWQB151dxbfiJ7M8rS4soVFWuAABZzqr6,224,2446,,,,
Naru 02543,2543,x,QmdjYEHCeWEvcFKMSPGTano6g1JWYJ5k9nZScKJfa8BMCB,224,2447,,,,
Naru 08243,8243,x,QmUF15gwCcKzppkPqBEswh3EgH6WrdwHXokspU2PXxFyXe,224,2448,,,,
Naru 01951,1951,x,QmbRj9EidYU6H8RefAFmTvoiXhh7jzoo5F2eWwRXhhLBHx,224,2449,,,,
Naru 06690,6690,x,QmdrtGpgQK9buFxRcRk5Dj42fuLn9B8EmPZYce36Xd8hg9,224,2450,,,,
Naru 08076,8076,450,QmdUQaugWobBaDyMeRb2Mvai5q1R4qwP1v17JamRc5dKje,224,2451,Basketball Jersey,Mischievous,Daisy Chain,Teal
Naru 07779,7779,1500,QmUuVH1FX8ugCbnpvjrrPRiNBspsRVwGBvH7s8qWcuNGKf,224,2452,Bell Necklace,Dizzy,Knight Helmet,Pink
Naru 00808,808,x,QmWVKT34TAe7TezK5GJYvMhHQssAkK5JEtef8BXHfqux4z,224,2453,,,,
Naru 08758,8758,x,QmQXDuS1mteNmBn4qUJPWRLFqyNRfPbYj6AZ7pVgrj6C5E,224,2454,,,,
Naru 06137,6137,x,QmWyBMHat7bRkBue3gDMERwqg7UZa65Xski8ib5F51Uiks,224,2455,,,,
Naru 00757,757,699,QmX7D8AwwsEWKecxaTTdWt8sNLB2kUoMGd5RnNXkt64etf,223,2456,Apron,Stern,Safari Hat,Purple
Naru 07525,7525,499,QmNY2k4Gg2pCZEHLuUr5CeHci2zfN2mUCoUvYdkDwAVWkp,223,2457,Bell Necklace,Cyber Happy,Blue Bucket Hat,Orange
Naru 00438,438,x,QmdXvF5BJ2k61FUCrUkJPZto2ATkF8ak8vthmo6HdXAvgM,223,2458,,,,
Naru 06391,6391,x,QmXCfd8ubnhbQAhS52Zk46LKkCMzzv4bWe2avgWp2sa3vx,223,2459,,,,
Naru 07080,7080,x,QmZPuGJ8x7kw5V5BCS9H8VpTmY2YYPmskV7Cjkm2rHL5FW,223,2460,,,,
Naru 03960,3960,489,QmPUN9Wv5iMQxuLSW8qAjcW9J96szMV4HQdgBsoQ4zs9VW,223,2461,Pink Hakama,Kawaii,Rain Hat,Green
Naru 00718,718,750,QmVSk23NTXXAonjYxyNQsuiCm5XV3Ymtk8SttcPbVM19go,223,2462,Polo Shirt,Excited,Kings Crown,Orange
Naru 07707,7707,x,QmVsr8RXQNS5UtyQfeMseBSAjxsTSXPLbGn61F8iMAAazq,223,2463,,,,
Naru 06251,6251,x,QmaHyMPHSvWbBLwQZTf1DsotYYyA7hmXAxT6px9xnt5fRM,223,2464,,,,
