name,id,price,hash,rarityScore,rarityRank
Naru 05348,5348,18000000000,QmWWeTF4KrvRYgQznRxPPZ3xjJcw3Tk8JNG4Xn1Qw2m6hS,610,129
Naru 08213,8213,,QmZ2dRtscvB2nNETbZ9DZEt1GtpVNi6uxLGvoKsx25r4gF,609,130
Naru 06247,6247,,QmRF7wjf71dxZ1wTuJdeptPHVmpPvaJLv1a11mKkuWYJQT,607,131
Naru 07306,7306,,QmVksazadcjZf9kPHkiRsw3avfx8nT4pmAuToDH5KsYCe1,607,132
Naru 03255,3255,,QmeeYxmM3UmcMZ6nKiBrVmDHHPeDG7vEb2LRTJW4SaKwPg,607,133
Naru 05883,5883,,QmQyYErQaFjwRP9G5o6k114Kt1hNnNMihAd8NAKJqy8gbM,607,134
Naru 08278,8278,,QmNc2SNFFwCJPnjgnhHn1d3336Vg3CadABKJZCimqfUvXf,606,135
Naru 04080,4080,,QmbSYEpKrv4H423ZuenDDiwfRWmktEeRCVFhzy2jkd7o4z,605,136
Naru 00242,242,,QmVGYq1UKCpz9X4Ac7gmyni1ZmpWpvACybJcZaDktMtFw2,605,137
Naru 04384,4384,,QmZRBULTgNMJsydj1H2BSDybCto8ZoqV95DWtRWzR8wtGG,605,138
Naru 06636,6636,,QmVd4z31yLutAcXxUgUdcaj756iqWebTcKwMrxe6yP2LUM,603,139
Naru 02836,2836,4500000000,QmecDPGHwQMeNWpccvQ7rhnJWTm1SAg2GHm5cGQNEKL3Uk,600,140
Naru 02501,2501,,QmPi3jxfbR24nMDfdWrUM8cadcDhLbA55Y3S7CwX9cpfXQ,596,141
Naru 00115,115,,QmUQok16WHQLLQC35K9WQxPdtxFXfGgrCDHSrCTyX5toDL,596,142
Naru 08160,8160,,QmZSJvLGTVMW3zyXG9K7UsZPgrrKVKSntNqgRCvFJpjpez,595,143
Naru 05451,5451,,QmaeeY3qoXN6q2LdAwpCS3VoCAQ8w2WqsV1N5nnX5E7X1n,594,144
Naru 04199,4199,,QmTB97KTbFYejHkaV2TrkWiWNThJ31Cu7fjKEjQuCUWgwv,590,145
Naru 02346,2346,,QmbhVcTkAu4sv1tRSK6Gqjpi57vXaGgAUseyW2xuGqVkuo,589,146
Naru 04987,4987,,QmcyoXacmUCCcWFfGJ7EXNF9c4ML8D7eLEPr2av4bwvS8A,589,147
Naru 02124,2124,,QmfL1VjRR7io6KAd3jtBug4oCt1vMjq5SfmQJx9QrEThVy,587,148
Naru 09399,9399,,QmWbHBxNUu21titRwrPYrFCnYagBeeqDwZJYm2zHoNGiu4,586,149
Naru 05455,5455,,QmTq4GRA7dfRrGRMCbNjZYvqGqKmPvkqQX11FCWwB4QxNE,586,150
Naru 06810,6810,,QmQbN5vLCxXDyoWLHG54yCeBsafmN1RuF1DHhi44sg92Z8,586,151
Naru 02959,2959,,QmNwCYVQqDocwTatZKUvmyAPHHu9jNRrLpYmvBaNipZz6g,585,152
Naru 05864,5864,,QmZi2BfXKTk7Z6GqEXipgxqJp829NAgTpHQuzPonBks2JF,584,153
Naru 08193,8193,4000000000,QmZL2pE5SVdnR9gZLFt6QwePpNwe11h4ZmxMrjMjbMbL7f,584,154
Naru 04455,4455,,QmZoeNLGNzKBpAEQ7ffDNKBPcVioanV5C3BjyFA8UQ7HtC,583,155
Naru 01023,1023,,QmaHtEyuBy6jVCXEy96wYnwivErr55JwHUGxkVLLjNPR7y,583,156
Naru 09902,9902,,QmXPCCniKY2PHmreAF5TQim6Skf7oY9iNEABw3EmQZBe8M,583,157
Naru 00069,69,4000000000,QmRpEzymC7UQm8pEy1gRyEku7nUJgmQHKkoKvHx5NRv1if,582,158
Naru 07683,7683,,QmPxvsq3cxhj9sKqGwWykbMuYChNW8epbhjSfyue3coTXz,580,159
Naru 07536,7536,,QmSjYjRSv6DziyyzrtiSSUb3WqenJCLMSHkGs6oVgYUEhG,580,160
Naru 03774,3774,,QmQWk9YKdrwbktJZF5vAcqpXDJ4cQ44rucKjoDTPz7tKtR,579,161
Naru 08032,8032,,QmQueo9vuPghTsXdsi19XyAoy4Z5GeCevhkbzStQ1ZRE3i,579,162
Naru 09851,9851,5555000000,QmcVsYKtJC61BgBXWd9vEKErGFNjYzgEvDrcZ4zVQRKfgo,578,163
Naru 05814,5814,,QmXPQi29NxjD6KofcAKt5HsL322y9dW1TAJYQ9NBiQmKEk,576,164
Naru 03816,3816,,QmNyDPYZS1hNC6JePziXWpCtUKeMDkyk3EnssFzc35HpEo,576,165
Naru 03203,3203,,QmdayFuRQz9qeM2qqmBYTZYLh9T1bHaqjmRPD85kDUhG9C,576,166
Naru 08151,8151,,QmeqWhxdw3gnE5Ji8qeYPALSh3KpxBbyFwjULkxsS37ZFV,576,167
Naru 00055,55,,QmRumTUxFbnYvgb1fGzbUzBDkM2HDaZ3nrbRy5bygtgJmG,575,168
